J2000X,J2000Y,J2000Z,J2000XV,J2000YV,J2000ZV,ET
-101712663.62375,103751899.22911,45008256.416322,-22.62563902356,-18.440496893686,-8.0883904775823,-896556653.92828
-101712664.1186,103751898.8258,45008256.23942,-22.625638924898,-18.440497032995,-8.0883905412136,-896556653.9064
-101712664.61345,103751898.42248,45008256.062518,-22.625638826237,-18.440497172304,-8.0883906048458,-896556653.88453
-101712665.10829,103751898.01917,45008255.885617,-22.625638727575,-18.440497311611,-8.0883906684769,-896556653.86266
-101712665.60314,103751897.61586,45008255.708715,-22.625638628914,-18.440497450922,-8.0883907321078,-896556653.84079
-101712666.09799,103751897.21254,45008255.531813,-22.625638530253,-18.440497590232,-8.0883907957393,-896556653.81892
-101712666.59284,103751896.80923,45008255.354911,-22.62563843159,-18.440497729539,-8.0883908593714,-896556653.79705
-101712667.08768,103751896.40592,45008255.178009,-22.62563833293,-18.44049786885,-8.0883909230025,-896556653.77518
-101712667.58253,103751896.0026,45008255.001107,-22.625638234268,-18.44049800816,-8.0883909866344,-896556653.75331
-101712668.07737,103751895.59929,45008254.824206,-22.625638135608,-18.440498147468,-8.0883910502651,-896556653.73144
-101712668.57222,103751895.19598,45008254.647304,-22.625638036945,-18.440498286777,-8.0883911138965,-896556653.70957
-101712669.06707,103751894.79266,45008254.470402,-22.625637938285,-18.440498426087,-8.0883911775286,-896556653.68769
-101712669.56192,103751894.38935,45008254.293501,-22.625637839622,-18.440498565395,-8.0883912411599,-896556653.66582
-101712670.05676,103751893.98603,45008254.116599,-22.625637740962,-18.440498704707,-8.0883913047911,-896556653.64395
-101712670.55161,103751893.58272,45008253.939697,-22.625637642299,-18.440498844015,-8.088391368422,-896556653.62208
-101712671.04646,103751893.17941,45008253.762796,-22.625637543638,-18.440498983323,-8.0883914320537,-896556653.60021
-101712671.5413,103751892.7761,45008253.585894,-22.625637444977,-18.440499122633,-8.0883914956853,-896556653.57834
-101712672.03615,103751892.37278,45008253.408992,-22.625637346315,-18.440499261942,-8.0883915593169,-896556653.55647
-101712672.531,103751891.96947,45008253.23209,-22.625637247654,-18.440499401251,-8.0883916229474,-896556653.5346
-101712673.02585,103751891.56615,45008253.055188,-22.625637148992,-18.440499540561,-8.0883916865792,-896556653.51273
-101712673.52069,103751891.16284,45008252.878286,-22.625637050332,-18.440499679871,-8.0883917502111,-896556653.49085
-101712674.01554,103751890.75953,45008252.701385,-22.62563695167,-18.440499819179,-8.0883918138418,-896556653.46898
-101712674.51039,103751890.35622,45008252.524483,-22.625636853009,-18.440499958489,-8.0883918774737,-896556653.44711
-101712675.00523,103751889.9529,45008252.347581,-22.625636754347,-18.440500097798,-8.0883919411055,-896556653.42524
-101712675.50008,103751889.54959,45008252.170679,-22.625636655685,-18.440500237106,-8.0883920047366,-896556653.40337
-101712675.99493,103751889.14627,45008251.993777,-22.625636557025,-18.440500376417,-8.0883920683679,-896556653.3815
-101712676.48977,103751888.74296,45008251.816876,-22.625636458362,-18.440500515724,-8.0883921319989,-896556653.35963
-101712676.98462,103751888.33965,45008251.639974,-22.625636359701,-18.440500655034,-8.0883921956301,-896556653.33776
-101712677.47947,103751887.93633,45008251.463072,-22.625636261039,-18.440500794344,-8.0883922592615,-896556653.31589
-101712677.97431,103751887.53302,45008251.28617,-22.625636162378,-18.440500933653,-8.0883923228936,-896556653.29401
-101712678.46916,103751887.12971,45008251.109268,-22.625636063716,-18.440501072962,-8.0883923865256,-896556653.27214
-101712678.96401,103751886.72639,45008250.932366,-22.625635965055,-18.440501212272,-8.0883924501561,-896556653.25027
-101712679.45885,103751886.32308,45008250.755465,-22.625635866395,-18.440501351581,-8.0883925137874,-896556653.2284
-101712679.9537,103751885.91977,45008250.578563,-22.625635767733,-18.440501490891,-8.0883925774187,-896556653.20653
-101712680.44855,103751885.51645,45008250.401662,-22.62563566907,-18.440501630198,-8.0883926410509,-896556653.18466
-101712680.94339,103751885.11314,45008250.22476,-22.625635570409,-18.440501769509,-8.0883927046819,-896556653.16279
-101712681.43824,103751884.70983,45008250.047858,-22.625635471747,-18.440501908818,-8.088392768313,-896556653.14092
-101712681.93309,103751884.30651,45008249.870956,-22.625635373086,-18.440502048128,-8.0883928319451,-896556653.11905
-101712682.42793,103751883.9032,45008249.694055,-22.625635274425,-18.440502187436,-8.0883928955764,-896556653.09718
-101712682.92278,103751883.49989,45008249.517153,-22.625635175764,-18.440502326746,-8.0883929592065,-896556653.0753
-101712683.41763,103751883.09657,45008249.340251,-22.625635077101,-18.440502466054,-8.0883930228391,-896556653.05343
-101712683.91248,103751882.69326,45008249.163349,-22.62563497844,-18.440502605364,-8.0883930864707,-896556653.03156
-101712684.40732,103751882.28994,45008248.986447,-22.625634879778,-18.440502744673,-8.0883931501024,-896556653.00969
-101712684.90217,103751881.88663,45008248.809546,-22.625634781118,-18.440502883983,-8.0883932137328,-896556652.98782
-101712685.39702,103751881.48332,45008248.632644,-22.625634682456,-18.440503023292,-8.0883932773646,-896556652.96595
-101712685.89186,103751881.08,45008248.455742,-22.625634583794,-18.4405031626,-8.0883933409961,-896556652.94408
-101712686.38671,103751880.67669,45008248.27884,-22.625634485132,-18.440503301909,-8.0883934046277,-896556652.92221
-101712686.88156,103751880.27338,45008248.101938,-22.625634386471,-18.44050344122,-8.0883934682595,-896556652.90034
-101712687.3764,103751879.87006,45008247.925036,-22.625634287808,-18.440503580527,-8.0883935318904,-896556652.87846
-101712687.87125,103751879.46675,45008247.748135,-22.625634189148,-18.440503719837,-8.0883935955212,-896556652.85659
-101712688.3661,103751879.06344,45008247.571233,-22.625634090487,-18.440503859147,-8.0883936591532,-896556652.83472
-101712688.86094,103751878.66012,45008247.394331,-22.625633991825,-18.440503998456,-8.0883937227844,-896556652.81285
-101712689.35579,103751878.25681,45008247.217429,-22.625633893162,-18.440504137765,-8.0883937864158,-896556652.79098
-101712689.85064,103751877.8535,45008247.040527,-22.625633794502,-18.440504277075,-8.0883938500473,-896556652.76911
-101712690.34549,103751877.45018,45008246.863625,-22.625633695839,-18.440504416383,-8.0883939136791,-896556652.74724
-101712690.84033,103751877.04687,45008246.686724,-22.625633597179,-18.440504555693,-8.0883939773099,-896556652.72537
-101712691.33518,103751876.64356,45008246.509822,-22.625633498516,-18.440504695002,-8.0883940409413,-896556652.7035
-101712691.83002,103751876.24024,45008246.33292,-22.625633399854,-18.440504834311,-8.0883941045721,-896556652.68162
-101712692.32487,103751875.83693,45008246.156018,-22.625633301193,-18.44050497362,-8.0883941682046,-896556652.65975
-101712692.81972,103751875.43361,45008245.979116,-22.625633202533,-18.440505112931,-8.0883942318358,-896556652.63788
-101712693.31457,103751875.0303,45008245.802214,-22.62563310387,-18.44050525224,-8.0883942954661,-896556652.61601
-101712693.80941,103751874.62699,45008245.625313,-22.625633005209,-18.440505391549,-8.0883943590976,-896556652.59414
-101712694.30426,103751874.22367,45008245.448411,-22.625632906548,-18.440505530858,-8.0883944227302,-896556652.57227
-101712694.79911,103751873.82036,45008245.271509,-22.625632807886,-18.440505670167,-8.0883944863607,-896556652.5504
-101712695.29395,103751873.41705,45008245.094607,-22.625632709224,-18.440505809476,-8.0883945499925,-896556652.52853
-101712695.7888,103751873.01373,45008244.917705,-22.625632610562,-18.440505948785,-8.0883946136245,-896556652.50666
-101712696.28364,103751872.61042,45008244.740804,-22.6256325119,-18.440506088093,-8.088394677255,-896556652.48479
-101712696.77849,103751872.20711,45008244.563902,-22.625632413239,-18.440506227404,-8.0883947408863,-896556652.46291
-101712697.27334,103751871.80379,45008244.387,-22.625632314578,-18.440506366713,-8.0883948045184,-896556652.44104
-101712697.76819,103751871.40048,45008244.210098,-22.625632215915,-18.440506506021,-8.0883948681493,-896556652.41917
-101712698.26303,103751870.99717,45008244.033196,-22.625632117253,-18.440506645331,-8.0883949317804,-896556652.3973
-101712698.75788,103751870.59385,45008243.856294,-22.625632018591,-18.44050678464,-8.0883949954124,-896556652.37543
-101712699.25273,103751870.19054,45008243.679393,-22.625631919931,-18.440506923949,-8.0883950590433,-896556652.35356
-101712699.74757,103751869.78723,45008243.502491,-22.625631821269,-18.440507063258,-8.0883951226752,-896556652.33169
-101712700.24242,103751869.38391,45008243.325589,-22.625631722607,-18.440507202568,-8.088395186306,-896556652.30982
-101712700.73727,103751868.9806,45008243.148687,-22.625631623946,-18.440507341878,-8.088395249937,-896556652.28795
-101712701.23211,103751868.57728,45008242.971785,-22.625631525284,-18.440507481187,-8.088395313569,-896556652.26607
-101712701.72696,103751868.17397,45008242.794883,-22.625631426622,-18.440507620495,-8.0883953772008,-896556652.2442
-101712702.22181,103751867.77066,45008242.617982,-22.62563132796,-18.440507759804,-8.0883954408314,-896556652.22233
-101712702.71665,103751867.36734,45008242.44108,-22.625631229298,-18.440507899114,-8.0883955044628,-896556652.20046
-101712703.2115,103751866.96403,45008242.264177,-22.625631130638,-18.440508038423,-8.0883955680948,-896556652.17859
-101712703.70635,103751866.56072,45008242.087275,-22.625631031975,-18.440508177732,-8.0883956317261,-896556652.15672
-101712704.20119,103751866.1574,45008241.910373,-22.625630933314,-18.440508317042,-8.0883956953576,-896556652.13485
-101712704.69604,103751865.75409,45008241.733471,-22.625630834652,-18.440508456351,-8.0883957589893,-896556652.11298
-101712705.19089,103751865.35078,45008241.55657,-22.62563073599,-18.440508595659,-8.0883958226202,-896556652.09111
-101712705.68573,103751864.94746,45008241.379668,-22.625630637329,-18.44050873497,-8.0883958862512,-896556652.06923
-101712706.18058,103751864.54415,45008241.202766,-22.625630538667,-18.440508874278,-8.0883959498831,-896556652.04736
